v_output_type,eta,zeta,i,unsat,sat,timeout
over,0.05,0.05,5,1,0,0
over,0.05,0.1,5,1,0,0
over,0.1,0.01,5,1,0,0
over,0.1,0.05,5,1,0,0
over,0.1,0.1,5,1,0,0
over,0.15,0.01,5,0,1,0
over,0.15,0.05,5,0,0,1
over,0.15,0.1,5,1,0,0
over,0.2,0.01,5,0,1,0
over,0.2,0.05,5,0,1,0
over,0.2,0.1,5,0,0,1
under,0.01,0.01,5,0,1,0
under,0.01,0.05,5,0,1,0
under,0.01,0.1,5,0,1,0
under,0.05,0.01,5,0,1,0
under,0.05,0.05,5,0,1,0
under,0.05,0.1,5,0,1,0
under,0.1,0.01,5,0,1,0
under,0.1,0.05,5,0,1,0
under,0.1,0.1,5,0,1,0
under,0.15,0.01,5,0,1,0
under,0.15,0.05,5,0,1,0
under,0.15,0.1,5,0,1,0
under,0.2,0.01,5,0,1,0
under,0.2,0.05,5,0,1,0
under,0.2,0.1,5,0,1,0
over,0.01,0.01,6,1,0,0
over,0.01,0.05,6,1,0,0
over,0.01,0.1,6,1,0,0
over,0.05,0.01,6,1,0,0
over,0.05,0.05,6,1,0,0
over,0.05,0.1,6,1,0,0
over,0.1,0.01,6,1,0,0
over,0.1,0.05,6,1,0,0
over,0.1,0.1,6,1,0,0
over,0.15,0.01,6,0,1,0
over,0.15,0.05,6,0,0,1
over,0.15,0.1,6,1,0,0
over,0.2,0.01,6,0,1,0
over,0.2,0.05,6,0,1,0
over,0.2,0.1,6,0,0,1
under,0.01,0.01,6,0,1,0
under,0.01,0.05,6,0,1,0
under,0.01,0.1,6,0,1,0
under,0.05,0.01,6,0,1,0
under,0.05,0.05,6,0,1,0
under,0.05,0.1,6,0,1,0
under,0.1,0.01,6,0,1,0
under,0.1,0.05,6,0,1,0
under,0.1,0.1,6,0,1,0
under,0.15,0.01,6,0,1,0
under,0.15,0.05,6,0,1,0
under,0.15,0.1,6,0,1,0
under,0.2,0.01,6,0,1,0
under,0.2,0.05,6,0,1,0
under,0.2,0.1,6,0,1,0
over,0.01,0.01,7,1,0,0
over,0.01,0.05,7,1,0,0
over,0.01,0.1,7,1,0,0
over,0.05,0.01,7,1,0,0
over,0.05,0.05,7,1,0,0
over,0.05,0.1,7,1,0,0
over,0.1,0.01,7,1,0,0
over,0.1,0.05,7,1,0,0
